Orbital Period(Hr),Eccentricity,Transit_duration(Hr),Transist dept(ppm),Planet star radius ratio,Planet radius (Earth Radius),Orbital Semi major axis(au),inclination(degree),planet star distance over star radius,stellar effective temperature(K),Stellar radius(solar radius),Stellar mass(solar mass)
0.536650319,0,2.383,41.9,0.006191,1.35,0.0138,67.32,1.581,6020,2,1.22
0.536650344,0,2.878,25.8,0.005103,1.57,0.0145,52.14,1.261,5490,2.825,1.396
0.536650896,0,4.702,273,0.191796,18.45,0.0124,10.48,1.195,5819,0.881,0.884
0.536654028,0,2.783,41,0.006137,0.67,0.0128,63.84,1.406,5887,1.001,0.965
0.536869783,0,4.164,222,0.014163,1.81,0.0137,60.73,1.142,6495,1.168,1.19
0.537110149,0,1.7976,92,0.116204,32.19,0.0141,17.88,1.162,5395,2.537,1.288
0.5374094,0,1.2039,94.2,0.008863,0.96,0.013,87.17,3.445,5749,0.988,1.02
0.537839241,0,2.169,23.5,0.004499,1.49,0.0149,82.51,1.944,6456,3.03,1.53
0.53835407,0,1.5045,190,0.012638,1.67,0.0127,82.87,2.693,5539,1.207,0.932
0.53936593,0,5.434,145,0.015878,9.19,0.0165,12.57,1.0119,6341,5.302,2.05
0.539445498,0,2.2821,25300,0.43179,68.65,0.0136,49.93,1.886,6486,1.456,1.156
0.539915033,0,1.1466,97,0.008937,0.82,0.0121,85.27,3.532,5102,0.837,0.811
0.5402463,0,13.93,1150,0.037888,6.2,0.0147,,0.373,7296,1.498,1.45
0.54028956,0,3.619,294,0.197793,21.45,0.0134,12.6,1.21,5997,0.993,1.093
0.541396363,0,2.384,181,0.012517,2.04,0.0143,87.66,1.854,7118,1.489,1.322
0.541405029,0,2.7481,328000,0.645629,125.64,0.0125,75.38,2.54,5096,1.782,0.898
0.542122617,0,1.283,88.3,0.008585,0.94,0.0134,88.11,3.2903,5875,0.998,1.088
0.542498653,0,4.257,54.9,0.006974,2.25,0.0164,72.77,1.158,8711,2.954,1.987
